reviewId,userName,content,score,at,thumbsUpCount,predicted_sentiment
06567a31-8bae-4991-aa37-6c5dd04e606d,Adies Kiniko,"Fitur2 sudah oke, hanya saja, notifikasi yang cukup menggangu, harus diaktifkan notifikasi baru bisa login, gak semua orang suka notifikasi kalian, jadi gak sah dipaksa untuk di aktifkan notifikasi nya. Udah gitu notifikasi nya juga gak penting2, Tolong di hapus fitur ini agar orang leluasa untuk mengatur sesuai keinginan orang.",1,2025-02-23 19:22:06,0,0
02e61aa3-b1b7-4834-bd00-335970f6fe94,Ahyatul Muna,Semuanya jelek,1,2025-02-23 19:15:43,0,0
e266753c-5d8b-43df-b05e-c73c4a443e0a,Yusuf Rahardian,"Aplikasinya bagus,sangat praktis dan simple",5,2025-02-23 18:58:32,0,1
0a43d215-b196-4aa9-af9d-3c5f70d1f909,Nindy Zuliyani,"Aplikasi yg sangat membantu ,buka rekening sangat mudah,bisa bikin sndri di rmh bagus bngtt",5,2025-02-23 18:20:50,0,1
cf791571-de47-4a18-8907-a6fe22c49516,Ifaaa,Tampilannya lebih keren sih yang sekarang dan warnanya bergradasi gitu cakep dah. Buka tabungan juga makin cepet de ~,5,2025-02-23 18:00:24,0,1
2f26414e-91a0-4a6a-ad82-81b1f1606169,Hazmi Ihkamuddin,"Tampil lebih keren, upgradenya bukan main, kualitas jangan ditanya lagi. Best pokoknya",5,2025-02-23 17:46:43,0,1
71eeab34-3862-4676-b0a8-ae488de07acd,Ayane _Bhillw,Aplikasi ini membantu banget,5,2025-02-23 17:36:58,0,1
1395c745-847a-4843-a569-b55067de94a8,Iftah nurulf,Kenapa benerin mbangking aja ribet bener yaa ampun. Dari msh BSI mobile mbangking kehapus dah download ulang aktivasinya stengah mati msh gk bisa sampe vc operator msh gk bisa padahal data udh bener sebener²nya. Terakhir datang langsung ke bank dan jawabnya cuma suruh nyoba² aja aktivasi karna data yg dikasih ke bank cabang harus di aprove dl sama bank pembuat awal. Ampun dah ah dh 5 hari nunggu dan nyoba² masih gk bisa hadehh orangmah bikin aturan yg pasti² aja masa tiap hari kudu nyoba² mulu,1,2025-02-23 17:32:50,0,0
1d0941b5-d56d-45ad-97d1-d85166e6bca4,Bimahadi Ilmawan Ronggowarsito,"login lama banget padahal koneksi stabil.. tolong maintenance servernya yang bener lah, nyusahin banget mau transaksi pake qris jadi lama banget",2,2025-02-23 17:22:15,0,0
5bf399f2-ab7b-44c6-bee6-1311064de37d,wawan wan,"gagal terus saat vermuk, ga seperti bsi mobile yg dulu itu ga ribet",1,2025-02-23 17:08:33,0,0
